KyNangMem,NNLT,QuyMoCongTy,LinhVuc,KhuVuc,NgoaiNgu,KinhNghiem,Luong
"LVN,GT,TT",PB,NHO,"FrontEnd,Mobile",KV3,DV,Internship,1000-1500
",,",TB,NHO,"Mobile,BackEnd,FrontEnd",KV3,TT,Senior,1000-1500
"QLTG,GT,GT",TB,NHO,FrontEnd,KV2,TT,Fresher,500-1000
"QLTG,QLTG,LVN",PB,NHO,Mobile,KV1,TT,Fresher,1000-1500
"TT,QLTG,GT",TB,NHO,"FrontEnd,Mobile",KV3,TT,Senior,1000-1500
"GT,TT,LVN",PB,TB,Tester,KV2,DV,Internship,1000-1500
"QLTG,GT,LVN",PB,TB,Tester,KV2,CB,Junior,1000-1500
"TT,QLTG,LVN",PB,TB,Back-end,KV3,CB,Internship,1000-1500
"GT,TT,GT",PB,LON,FrontEnd,KV1,CB,Fresher,1000-1500
",TT,QLTG",TB,NHO,Developer Option,KV2,KC,Senior,500-1000
"GT,TT,LVN",PB,NHO,Back-end,KV2,CB,Senior,>1500
"GT,LVN,",PB,LON,Mobile,KV2,KC,Internship,1000-1500
",TT,QLTG",PB,LON,FrontEnd,KV1,CB,Junior,>1500
"TT,TT,",PB,TB,FrontEnd,KV2,DV,Junior,1000-1500
"TT,TT,LVN",TB,TB,"BackEnd,Mobile",KV1,KC,Internship,500-1000
"GT,TT,LVN",TB,TB,Tester,KV1,CB,Internship,500-1000
"QLTG,QLTG,QLTG",PB,NHO,Tester,KV3,DV,Senior,>1500
"LVN,LVN,",PB,TB,"BackEnd,FrontEnd",KV3,CB,Senior,>1500
",LVN,LVN",PB,TB,Mobile,KV3,TT,Senior,>1500
"TT,QLTG,LVN",TB,TB,"BackEnd,FrontEnd",KV3,KC,Fresher,500-1000
",TT,LVN",PB,LON,"BackEnd,Mobile",KV3,KC,Fresher,1000-1500
"QLTG,QLTG,",PB,NHO,"FrontEnd,Mobile",KV1,KC,Fresher,1000-1500
"GT,GT,TT",TB,NHO,"BackEnd,FrontEnd",KV3,KC,Junior,500-1000
"LVN,LVN,QLTG",PB,TB,Mobile,KV2,CB,Senior,>1500
"TT,TT,QLTG",PB,NHO,Back-end,KV3,CB,Senior,>1500
"GT,TT,TT",PB,TB,Developer Option,KV2,DV,Senior,>1500
"QLTG,LVN,LVN",PB,NHO,Developer Option,KV3,DV,Internship,1000-1500
"TT,GT,",TB,NHO,Mobile,KV1,KC,Senior,1000-1500
"LVN,QLTG,LVN",PB,NHO,Back-end,KV2,CB,Internship,1000-1500
",TT,",PB,NHO,FrontEnd,KV3,KC,Junior,500-1000
"LVN,,LVN",KPB,NHO,Mobile,KV2,DV,Fresher,500-1000
"QLTG,LVN,QLTG",TB,TB,FrontEnd,KV2,CB,Senior,1000-1500
"TT,QLTG,TT",PB,NHO,Mobile,KV2,DV,Senior,>1500
"QLTG,TT,TT",PB,TB,"Mobile,BackEnd,FrontEnd",KV1,KC,Internship,1000-1500
